IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
18.198.227.161,443,443,true,FRA,Europe,DE,Frankfurt,345,9.55
51.20.10.240,2087,443,true,ARN,Europe,SE,Stockholm,369,9.54
67.226.221.186,80,443,true,SJC,North America,US,San Jose,194,9.54
34.223.222.58,443,443,true,SEA,North America,US,Seattle,383,9.54
34.212.226.11,443,443,true,SEA,North America,US,Seattle,219,9.53
52.40.75.255,443,443,true,SEA,North America,US,Seattle,211,9.53
52.42.226.114,443,443,true,SEA,North America,US,Seattle,251,9.53
34.217.210.176,443,443,true,PDX,North America,US,Portland,364,9.53
44.224.24.91,443,443,true,SEA,North America,US,Seattle,214,9.53
67.226.221.1,443,443,true,SJC,North America,US,San Jose,364,9.53
35.166.100.125,443,443,true,SEA,North America,US,Seattle,284,9.53
52.39.154.11,443,443,true,SEA,North America,US,Seattle,311,9.52
54.186.86.18,443,443,true,SEA,North America,US,Seattle,308,9.52
18.237.131.197,443,443,true,SEA,North America,US,Seattle,225,9.52
52.12.99.134,443,443,true,PDX,North America,US,Portland,203,9.52
52.37.125.139,443,443,true,SEA,North America,US,Seattle,312,9.52
54.213.215.13,2053,443,true,PDX,North America,US,Portland,337,9.51
52.40.162.77,443,443,true,SEA,North America,US,Seattle,366,9.51
54.201.165.90,443,443,true,SEA,North America,US,Seattle,370,9.51
54.245.180.242,8443,443,true,SEA,North America,US,Seattle,199,9.51
3.70.231.136,443,443,true,FRA,Europe,DE,Frankfurt,329,9.51
51.20.184.1,2096,443,true,ARN,Europe,SE,Stockholm,359,9.51
35.89.115.50,443,443,true,SEA,North America,US,Seattle,332,9.51
3.67.25.193,443,443,true,FRA,Europe,DE,Frankfurt,344,9.51
52.40.84.189,443,443,true,SEA,North America,US,Seattle,214,9.51
34.209.44.114,443,443,true,SEA,North America,US,Seattle,289,9.51
44.243.180.174,443,443,true,SEA,North America,US,Seattle,258,9.51
18.237.5.167,443,443,true,SEA,North America,US,Seattle,462,9.51
34.215.69.154,443,443,true,SEA,North America,US,Seattle,296,9.51
54.186.86.18,443,443,true,SEA,North America,US,Seattle,267,9.50
54.74.253.197,2083,443,true,DUB,Europe,IE,Dublin,370,9.50
52.41.158.6,443,443,true,SEA,North America,US,Seattle,335,9.50
35.88.89.247,443,443,true,SEA,North America,US,Seattle,355,9.50
35.92.114.70,443,443,true,SEA,North America,US,Seattle,328,9.50
67.226.221.22,80,443,true,SJC,North America,US,San Jose,192,9.50
54.184.186.30,443,443,true,SEA,North America,US,Seattle,202,9.50
34.220.203.196,443,443,true,SEA,North America,US,Seattle,192,9.50
52.42.71.111,443,443,true,SEA,North America,US,Seattle,195,9.50
34.208.78.194,443,443,true,SEA,North America,US,Seattle,309,9.50
34.219.89.178,443,443,true,SEA,North America,US,Seattle,234,9.49
54.201.165.90,443,443,true,SEA,North America,US,Seattle,235,9.49
35.164.68.252,443,443,true,PDX,North America,US,Portland,221,9.49
54.70.206.3,443,443,true,PDX,North America,US,Portland,221,9.49
34.220.218.17,443,443,true,SEA,North America,US,Seattle,326,9.49
34.222.88.23,443,443,true,SEA,North America,US,Seattle,212,9.49
54.71.114.84,443,443,true,SEA,North America,US,Seattle,395,9.49
54.201.75.89,443,443,true,SEA,North America,US,Seattle,330,9.49
54.187.37.253,443,443,true,SEA,North America,US,Seattle,305,9.49
35.167.252.160,443,443,true,PDX,North America,US,Portland,232,9.49
54.191.65.20,443,443,true,PDX,North America,US,Portland,329,9.49
18.156.209.101,443,443,true,FRA,Europe,DE,Frankfurt,330,9.48
51.20.99.157,443,443,true,CPH,Europe,DK,Copenhagen,372,9.48
34.211.111.6,443,443,true,SEA,North America,US,Seattle,237,9.48
35.90.109.48,443,443,true,SEA,North America,US,Seattle,499,9.48
52.88.206.139,8443,443,true,SEA,North America,US,Seattle,318,9.48
34.214.254.30,443,443,true,SEA,North America,US,Seattle,342,9.48
67.226.221.53,80,443,true,SJC,North America,US,San Jose,186,9.48
54.201.75.89,443,443,true,SEA,North America,US,Seattle,203,9.48
52.41.58.46,443,443,true,SEA,North America,US,Seattle,359,9.48
35.161.148.250,443,443,true,SEA,North America,US,Seattle,336,9.47
52.11.84.58,443,443,true,SEA,North America,US,Seattle,323,9.47
54.149.122.192,443,443,true,PDX,North America,US,Portland,352,9.47
35.92.189.147,443,443,true,SEA,North America,US,Seattle,187,9.47
204.110.220.33,80,443,true,SJC,North America,US,San Jose,221,9.47
67.226.221.73,80,443,true,SJC,North America,US,San Jose,195,9.47
