IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.222.153.148,443,443,true,SIN,Asia Pacific,SG,Singapore,226,2.87
8.219.212.90,443,443,true,SIN,Asia Pacific,SG,Singapore,249,2.86
8.219.197.205,443,443,true,SIN,Asia Pacific,SG,Singapore,75,2.84
8.219.142.67,443,443,true,SIN,Asia Pacific,SG,Singapore,359,2.84
47.238.126.188,8080,443,true,HKG,Asia Pacific,HK,Hong Kong,285,2.82
8.219.145.238,443,443,true,SIN,Asia Pacific,SG,Singapore,308,2.81
47.238.126.188,8080,443,true,HKG,Asia Pacific,HK,Hong Kong,276,2.78
8.219.171.168,443,443,true,SIN,Asia Pacific,SG,Singapore,246,2.76
8.219.250.220,443,443,true,SIN,Asia Pacific,SG,Singapore,339,2.75
8.219.128.170,443,443,true,SIN,Asia Pacific,SG,Singapore,281,2.72
8.219.113.79,443,443,true,SIN,Asia Pacific,SG,Singapore,257,2.70
8.219.134.91,443,443,true,SIN,Asia Pacific,SG,Singapore,20,2.57
8.219.72.167,443,443,true,SIN,Asia Pacific,SG,Singapore,324,2.57
8.219.153.88,443,443,true,SIN,Asia Pacific,SG,Singapore,333,2.50
8.219.119.39,443,443,true,SIN,Asia Pacific,SG,Singapore,244,2.49
8.219.9.33,443,443,true,SIN,Asia Pacific,SG,Singapore,335,2.44
8.219.13.163,443,443,true,SIN,Asia Pacific,SG,Singapore,281,2.43
8.219.87.154,443,443,true,SIN,Asia Pacific,SG,Singapore,293,2.42
8.219.184.103,443,443,true,SIN,Asia Pacific,SG,Singapore,234,2.42
8.219.234.246,443,443,true,SIN,Asia Pacific,SG,Singapore,240,2.37
8.222.132.59,443,443,true,SIN,Asia Pacific,SG,Singapore,359,2.36
8.219.79.64,443,443,true,SIN,Asia Pacific,SG,Singapore,249,2.35
8.219.108.254,443,443,true,SIN,Asia Pacific,SG,Singapore,391,2.35
8.219.250.241,443,443,true,SIN,Asia Pacific,SG,Singapore,191,2.34
8.219.72.167,443,443,true,SIN,Asia Pacific,SG,Singapore,415,2.32
8.219.116.224,443,443,true,SIN,Asia Pacific,SG,Singapore,301,2.26
8.219.54.35,443,443,true,SIN,Asia Pacific,SG,Singapore,264,2.25
8.219.160.17,443,443,true,SIN,Asia Pacific,SG,Singapore,395,2.21
8.219.120.7,443,443,true,SIN,Asia Pacific,SG,Singapore,248,2.20
8.219.123.67,443,443,true,SIN,Asia Pacific,SG,Singapore,216,2.18
8.219.241.5,443,443,true,SIN,Asia Pacific,SG,Singapore,411,2.15
8.219.103.182,443,443,true,SIN,Asia Pacific,SG,Singapore,239,2.14
8.219.166.81,443,443,true,SIN,Asia Pacific,SG,Singapore,458,2.04
8.219.197.192,443,443,true,SIN,Asia Pacific,SG,Singapore,250,2.03
8.219.98.5,443,443,true,SIN,Asia Pacific,SG,Singapore,239,2.02
8.219.119.17,443,443,true,SIN,Asia Pacific,SG,Singapore,271,2.02
8.219.223.212,443,443,true,SIN,Asia Pacific,SG,Singapore,394,1.98
8.219.152.11,443,443,true,SIN,Asia Pacific,SG,Singapore,175,1.98
8.219.252.46,443,443,true,SIN,Asia Pacific,SG,Singapore,274,1.97
8.219.123.67,443,443,true,SIN,Asia Pacific,SG,Singapore,258,1.96
47.90.141.204,443,443,true,LAX,North America,US,Los Angeles,271,1.95
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,281,1.90
8.219.175.19,443,443,true,SIN,Asia Pacific,SG,Singapore,178,1.86
8.219.3.77,443,443,true,SIN,Asia Pacific,SG,Singapore,231,1.81
8.219.90.83,443,443,true,SIN,Asia Pacific,SG,Singapore,173,1.77
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,222,1.75
8.219.93.3,443,443,true,SIN,Asia Pacific,SG,Singapore,250,1.72
8.220.242.52,443,443,true,ICN,Asia Pacific,KR,Seoul,227,1.72
8.219.249.43,443,443,true,SIN,Asia Pacific,SG,Singapore,177,1.66
8.219.196.20,443,443,true,SIN,Asia Pacific,SG,Singapore,172,1.59
8.219.61.182,443,443,true,SIN,Asia Pacific,SG,Singapore,201,1.50
8.219.93.186,443,443,true,SIN,Asia Pacific,SG,Singapore,76,1.48
8.219.132.65,443,443,true,SIN,Asia Pacific,SG,Singapore,345,1.44
8.219.247.103,443,443,true,SIN,Asia Pacific,SG,Singapore,253,1.44
8.219.171.87,443,443,true,SIN,Asia Pacific,SG,Singapore,187,1.43
8.219.72.36,443,443,true,SIN,Asia Pacific,SG,Singapore,360,1.41
8.219.247.248,443,443,true,SIN,Asia Pacific,SG,Singapore,293,1.32
8.219.58.141,443,443,true,SIN,Asia Pacific,SG,Singapore,248,1.32
